exercicio,periodo,periodo_ref,uf,instituicao,cod_ibge,valor_12m,valor_12m_bilhoes
2022,2,2022B2,PI,Governo do Estado do Piauí,22,5683373336.69,5.68337333669
2023,1,2023B1,PI,Governo do Estado do Piauí,22,5745918756.64,5.74591875664
2023,2,2023B2,PI,Governo do Estado do Piauí,22,5744148889.43,5.74414888943
2024,1,2024B1,PI,Governo do Estado do Piauí,22,7010687069.39,7.01068706939
2024,2,2024B2,PI,Governo do Estado do Piauí,22,7239729034.34,7.23972903434
2025,1,2025B1,PI,Governo do Estado do Piauí,22,7763023360.18,7.76302336018
2025,2,2025B2,PI,Governo do Estado do Piauí,22,7872615140.82,7.87261514082
2026,1,2026B1,PI,Governo do Estado do Piauí,22,8698196515.3,8.6981965153
2026,2,2026B2,PI,Governo do Estado do Piauí,22,8900032623.95,8.90003262395
2022,1,2022B1,PR,Governo do Estado do Paraná,41,40120946649.57,40.12094664957
2022,2,2022B2,PR,Governo do Estado do Paraná,41,41690328626.03,41.69032862603
2023,1,2023B1,PR,Governo do Estado do Paraná,41,41208137872.92,41.20813787292
2023,2,2023B2,PR,Governo do Estado do Paraná,41,40782017668.29,40.78201766829
2024,1,2024B1,PR,Governo do Estado do Paraná,41,46097934201.02,46.097934201019996
2024,2,2024B2,PR,Governo do Estado do Paraná,41,47418252574.7,47.4182525747
2025,1,2025B1,PR,Governo do Estado do Paraná,41,53140486685.37,53.14048668537
2025,2,2025B2,PR,Governo do Estado do Paraná,41,53442621631.81,53.44262163181
2026,1,2026B1,PR,Governo do Estado do Paraná,41,53191344559.61,53.19134455961
2026,2,2026B2,PR,Governo do Estado do Paraná,41,54114864066.78,54.11486406678
2022,1,2022B1,RJ,Governo do Estado do Rio de Janeiro,33,53766713856.47,53.76671385647
2022,2,2022B2,RJ,Governo do Estado do Rio de Janeiro,33,53893143472.82,53.89314347282
2023,1,2023B1,RJ,Governo do Estado do Rio de Janeiro,33,49752793285.44,49.75279328544
2023,2,2023B2,RJ,Governo do Estado do Rio de Janeiro,33,49308978017.66,49.30897801766
2024,1,2024B1,RJ,Governo do Estado do Rio de Janeiro,33,51392540426.08,51.392540426080004
2024,2,2024B2,RJ,Governo do Estado do Rio de Janeiro,33,52148922823.19,52.148922823190006
2025,1,2025B1,RJ,Governo do Estado do Rio de Janeiro,33,57780135407,57.780135407
2025,2,2025B2,RJ,Governo do Estado do Rio de Janeiro,33,59693878892.69,59.69387889269
2026,1,2026B1,RJ,Governo do Estado do Rio de Janeiro,33,64721415649.24,64.72141564924
2026,2,2026B2,RJ,Governo do Estado do Rio de Janeiro,33,66412554632.14,66.41255463214
2022,1,2022B1,RN,Governo do Estado do Rio Grande do Norte,24,6918366773.26,6.91836677326
2022,2,2022B2,RN,Governo do Estado do Rio Grande do Norte,24,7093735239.89,7.09373523989
2023,1,2023B1,RN,Governo do Estado do Rio Grande do Norte,24,7260600385.36,7.26060038536
2023,2,2023B2,RN,Governo do Estado do Rio Grande do Norte,24,7282869990.76,7.28286999076
2024,1,2024B1,RN,Governo do Estado do Rio Grande do Norte,24,8454105855.02,8.45410585502
2024,2,2024B2,RN,Governo do Estado do Rio Grande do Norte,24,8492038419.18,8.49203841918
