exercicio,periodo,periodo_ref,uf,instituicao,cod_ibge,valor_12m,valor_12m_bilhoes,valor_12m_ano_anterior,crescimento_yoy,crescimento_yoy_pct,regiao,destaque
2025,1,2025B1,RN,Governo do Estado do Rio Grande do Norte,24,8570300055.07,8.57030005507,8454105855.02,0.013744114639989258,1.3744114639989258,Nordeste,Demais estados do Nordeste
2025,2,2025B2,RN,Governo do Estado do Rio Grande do Norte,24,8736113212.66,8.73611321266,8492038419.18,0.02874160259670222,2.874160259670222,Nordeste,Demais estados do Nordeste
2026,1,2026B1,RN,Governo do Estado do Rio Grande do Norte,24,9594995968.16,9.59499596816,8570300055.07,0.1195635982994332,11.95635982994332,Nordeste,Demais estados do Nordeste
2026,2,2026B2,RN,Governo do Estado do Rio Grande do Norte,24,9848491155.72,9.84849115572,8736113212.66,0.12733098987865565,12.733098987865565,Nordeste,Demais estados do Nordeste
2023,1,2023B1,SE,Governo do Estado de Sergipe,28,4586872713.25,4.58687271325,4314141057.04,0.06321806649435935,6.321806649435935,Nordeste,Demais estados do Nordeste
2023,2,2023B2,SE,Governo do Estado de Sergipe,28,4587198693.59,4.58719869359,4458632830.91,0.028835265776697705,2.8835265776697705,Nordeste,Demais estados do Nordeste
2024,1,2024B1,SE,Governo do Estado de Sergipe,28,5141485751.2,5.141485751199999,4586872713.25,0.1209131084775692,12.091310847756919,Nordeste,Demais estados do Nordeste
2024,2,2024B2,SE,Governo do Estado de Sergipe,28,5250315537.36,5.25031553736,4587198693.59,0.14455812535363188,14.455812535363188,Nordeste,Demais estados do Nordeste
2025,1,2025B1,SE,Governo do Estado de Sergipe,28,5733616169.68,5.73361616968,5141485751.2,0.1151671806815373,11.51671806815373,Nordeste,Demais estados do Nordeste
2025,2,2025B2,SE,Governo do Estado de Sergipe,28,5830369156.38,5.83036915638,5250315537.36,0.11047976352896827,11.047976352896827,Nordeste,Demais estados do Nordeste
2026,1,2026B1,SE,Governo do Estado de Sergipe,28,6138102382.75,6.13810238275,5733616169.68,0.0705464406928682,7.0546440692868195,Nordeste,Demais estados do Nordeste
2026,2,2026B2,SE,Governo do Estado de Sergipe,28,6159968404.85,6.159968404850001,5830369156.38,0.05653145446362173,5.653145446362173,Nordeste,Demais estados do Nordeste
