exercicio,periodo,periodo_ref,uf,instituicao,cod_ibge,valor_12m,valor_12m_bilhoes,valor_12m_ano_anterior,crescimento_yoy,crescimento_yoy_pct
2026,1,2026B1,MA,Governo do Estado do Maranhão,21,16051055052.34,16.05105505234,14453877769.67,0.11050164586430333,11.050164586430334
2026,2,2026B2,MA,Governo do Estado do Maranhão,21,16607644966.43,16.60764496643,14395686329.64,0.1536542674061805,15.365426740618048
2022,1,2022B1,MG,Governo do Estado de Minas Gerais,31,69209912500.29,69.20991250028999,NA,NA,NA
2022,2,2022B2,MG,Governo do Estado de Minas Gerais,31,71143454906.62,71.14345490662,NA,NA,NA
2023,1,2023B1,MG,Governo do Estado de Minas Gerais,31,69183695132.73,69.18369513273,69209912500.29,-3.7880943080059737e-4,-0.03788094308005974
2023,2,2023B2,MG,Governo do Estado de Minas Gerais,31,69608859529.26,69.60885952925999,71143454906.62,-0.021570436512736824,-2.1570436512736824
2024,1,2024B1,MG,Governo do Estado de Minas Gerais,31,74324364681.49,74.32436468149001,69183695132.73,0.07430463982731128,7.430463982731128
2024,2,2024B2,MG,Governo do Estado de Minas Gerais,31,74457955766.52,74.45795576652,69608859529.26,0.06966205552070126,6.966205552070126
2025,1,2025B1,MG,Governo do Estado de Minas Gerais,31,82831593076.32,82.83159307632,74324364681.49,0.11446082897966114,11.446082897966114
2025,2,2025B2,MG,Governo do Estado de Minas Gerais,31,84489487990.77,84.48948799077,74457955766.52,0.1347274729876573,13.47274729876573
2026,1,2026B1,MG,Governo do Estado de Minas Gerais,31,87897848121.04,87.89784812104,82831593076.32,0.06116331772168149,6.116331772168149
2026,2,2026B2,MG,Governo do Estado de Minas Gerais,31,88600711571.47,88.60071157147,84489487990.77,0.048659586872500826,4.865958687250083
2022,1,2022B1,MS,Governo do Estado do Mato Grosso do Sul,50,12974178245.46,12.97417824546,NA,NA,NA
2022,2,2022B2,MS,Governo do Estado do Mato Grosso do Sul,50,13221199850.04,13.221199850040001,NA,NA,NA
2023,1,2023B1,MS,Governo do Estado do Mato Grosso do Sul,50,14315140894.91,14.31514089491,12974178245.46,0.10335626843412893,10.335626843412893
2023,2,2023B2,MS,Governo do Estado do Mato Grosso do Sul,50,14585383738.06,14.585383738059999,13221199850.04,0.10318154959406889,10.31815495940689
