exercicio,periodo,uf,instituicao,cod_ibge,valor_bimestre,valor_bimestre_bilhoes,periodo_ref
2022,1,RO,Governo do Estado de Rondônia,11,1049329141.3499999,1.0493291413499999,2022B1
2022,2,RO,Governo do Estado de Rondônia,11,946841079.4000001,0.9468410794000001,2022B2
2023,1,RO,Governo do Estado de Rondônia,11,818513413.9000001,0.8185134139000001,2023B1
2023,2,RO,Governo do Estado de Rondônia,11,954492889.3199999,0.95449288932,2023B2
2024,1,RO,Governo do Estado de Rondônia,11,1166192205.42,1.16619220542,2024B1
2024,2,RO,Governo do Estado de Rondônia,11,1108375692.12,1.1083756921199999,2024B2
2025,1,RO,Governo do Estado de Rondônia,11,1199415103.07,1.19941510307,2025B1
2025,2,RO,Governo do Estado de Rondônia,11,1186144740.7399998,1.1861447407399999,2025B2
2026,1,RO,Governo do Estado de Rondônia,11,1281920877.21,1.2819208772100001,2026B1
2026,2,RO,Governo do Estado de Rondônia,11,1358346562.2,1.3583465622,2026B2
2022,1,RR,Governo do Estado de Roraima,14,292691782.89,0.29269178289,2022B1
2022,2,RR,Governo do Estado de Roraima,14,271753473.69,0.27175347369,2022B2
2023,1,RR,Governo do Estado de Roraima,14,252917342.92000002,0.25291734292,2023B1
2023,2,RR,Governo do Estado de Roraima,14,209270193.22000003,0.20927019322000004,2023B2
2024,1,RR,Governo do Estado de Roraima,14,309219775.39,0.30921977539,2024B1
2024,2,RR,Governo do Estado de Roraima,14,316582223.24,0.31658222324,2024B2
2025,1,RR,Governo do Estado de Roraima,14,353213284.9,0.3532132849,2025B1
2025,2,RR,Governo do Estado de Roraima,14,338744160.98,0.33874416098000004,2025B2
2026,1,RR,Governo do Estado de Roraima,14,334992937.98,0.33499293798,2026B1
2026,2,RR,Governo do Estado de Roraima,14,359656839.28,0.35965683928,2026B2
2022,1,RS,Governo do Estado do Rio Grande do Sul,43,7419324317.41,7.41932431741,2022B1
2022,2,RS,Governo do Estado do Rio Grande do Sul,43,7827642596.79,7.82764259679,2022B2
2023,1,RS,Governo do Estado do Rio Grande do Sul,43,6582165102.29,6.58216510229,2023B1
2023,2,RS,Governo do Estado do Rio Grande do Sul,43,7236376410.82,7.236376410819999,2023B2
2024,1,RS,Governo do Estado do Rio Grande do Sul,43,8175129007.14,8.17512900714,2024B1
2024,2,RS,Governo do Estado do Rio Grande do Sul,43,8169014207.76,8.16901420776,2024B2
2025,1,RS,Governo do Estado do Rio Grande do Sul,43,8617502362.02,8.61750236202,2025B1
2025,2,RS,Governo do Estado do Rio Grande do Sul,43,9687010097.63,9.687010097629999,2025B2
2026,1,RS,Governo do Estado do Rio Grande do Sul,43,8885545554.28,8.88554555428,2026B1
2026,2,RS,Governo do Estado do Rio Grande do Sul,43,8959671711.53,8.959671711530001,2026B2
2022,1,SC,Governo do Estado de Santa Catarina,42,6680557434.32,6.68055743432,2022B1
2022,2,SC,Governo do Estado de Santa Catarina,42,5957410962.389999,5.957410962389999,2022B2
2023,1,SC,Governo do Estado de Santa Catarina,42,5739144818.440001,5.739144818440001,2023B1
2023,2,SC,Governo do Estado de Santa Catarina,42,5853013252.89,5.85301325289,2023B2
2024,1,SC,Governo do Estado de Santa Catarina,42,7063698326.1,7.063698326100001,2024B1
2024,2,SC,Governo do Estado de Santa Catarina,42,6959903985.940001,6.9599039859400005,2024B2
2025,1,SC,Governo do Estado de Santa Catarina,42,7570240170.49,7.57024017049,2025B1
2025,2,SC,Governo do Estado de Santa Catarina,42,7509705415.129999,7.509705415129999,2025B2
2026,1,SC,Governo do Estado de Santa Catarina,42,8119269331.98,8.11926933198,2026B1
2026,2,SC,Governo do Estado de Santa Catarina,42,8347162164.42,8.34716216442,2026B2
2022,1,SE,Governo do Estado de Sergipe,28,767727195.69,0.76772719569,2022B1
2022,2,SE,Governo do Estado de Sergipe,28,777827302.28,0.77782730228,2022B2
2023,1,SE,Governo do Estado de Sergipe,28,791075971.4000001,0.7910759714000001,2023B1
2023,2,SE,Governo do Estado de Sergipe,28,778153282.62,0.77815328262,2023B2
2024,1,SE,Governo do Estado de Sergipe,28,905629548.66,0.90562954866,2024B1
2024,2,SE,Governo do Estado de Sergipe,28,886983068.78,0.88698306878,2024B2
2025,1,SE,Governo do Estado de Sergipe,28,1030366685.5699999,1.03036668557,2025B1
2025,2,SE,Governo do Estado de Sergipe,28,983736055.48,0.98373605548,2025B2
2026,1,SE,Governo do Estado de Sergipe,28,1072680111.63,1.07268011163,2026B1
2026,2,SE,Governo do Estado de Sergipe,28,1005602077.5799999,1.0056020775799999,2026B2
2022,1,SP,Governo do Estado de São Paulo,35,31345637815.9,31.3456378159,2022B1
2022,2,SP,Governo do Estado de São Paulo,35,35242301553.36,35.24230155336,2022B2
2023,1,SP,Governo do Estado de São Paulo,35,30408405331.78,30.40840533178,2023B1
2023,2,SP,Governo do Estado de São Paulo,35,31430297584.02,31.43029758402,2023B2
2024,1,SP,Governo do Estado de São Paulo,35,34307120319.38,34.307120319380005,2024B1
2024,2,SP,Governo do Estado de São Paulo,35,35327134493.65,35.32713449365,2024B2
2025,1,SP,Governo do Estado de São Paulo,35,38382012972.58,38.38201297258,2025B1
2025,2,SP,Governo do Estado de São Paulo,35,37579835922.86,37.57983592286,2025B2
2026,1,SP,Governo do Estado de São Paulo,35,38922836324.68,38.92283632468,2026B1
2026,2,SP,Governo do Estado de São Paulo,35,40286520572.240005,40.28652057224001,2026B2
2022,1,TO,Governo do Estado do Tocantins,17,706143737.6800001,0.70614373768,2022B1
2022,2,TO,Governo do Estado do Tocantins,17,730079139.68,0.7300791396799999,2022B2
2023,1,TO,Governo do Estado do Tocantins,17,688648694.1,0.6886486941000001,2023B1
2023,2,TO,Governo do Estado do Tocantins,17,729162202.19,0.72916220219,2023B2
2024,1,TO,Governo do Estado do Tocantins,17,912119988.79,0.91211998879,2024B1
2024,2,TO,Governo do Estado do Tocantins,17,902532866.3299999,0.90253286633,2024B2
2025,1,TO,Governo do Estado do Tocantins,17,967540487.5899999,0.9675404875899999,2025B1
2025,2,TO,Governo do Estado do Tocantins,17,986118780.75,0.98611878075,2025B2
2026,1,TO,Governo do Estado do Tocantins,17,976444886.05,0.9764448860499999,2026B1
2026,2,TO,Governo do Estado do Tocantins,17,1071633220.78,1.07163322078,2026B2
