exercicio,periodo,uf,instituicao,cod_ibge,valor_bimestre,valor_bimestre_bilhoes,periodo_ref,valor_bimestre_ano_anterior,crescimento_yoy,crescimento_yoy_pct
2026,1,DF,Governo do Distrito Federal,53,2241844601.6800003,2.2418446016800004,2026B1,2013084913.2199998,0.11363638312409363,11.363638312409364
2026,2,DF,Governo do Distrito Federal,53,2212373612.17,2.21237361217,2026B2,1997527249.52,0.10755616109949284,10.755616109949283
2022,1,ES,Governo do Estado do Espírito Santo,32,2859243632.51,2.85924363251,2022B1,NA,NA,NA
2022,2,ES,Governo do Estado do Espírito Santo,32,2771794344.48,2.77179434448,2022B2,NA,NA,NA
2023,1,ES,Governo do Estado do Espírito Santo,32,2810935963.87,2.81093596387,2023B1,2859243632.51,-0.016895261421844388,-1.6895261421844388
2023,2,ES,Governo do Estado do Espírito Santo,32,2801426969.04,2.80142696904,2023B2,2771794344.48,0.01069077315169964,1.069077315169964
2024,1,ES,Governo do Estado do Espírito Santo,32,3351704126.58,3.35170412658,2024B1,2810935963.87,0.19238010743065415,19.238010743065416
2024,2,ES,Governo do Estado do Espírito Santo,32,3314532249.66,3.31453224966,2024B2,2801426969.04,0.18315854251800534,18.315854251800534
2025,1,ES,Governo do Estado do Espírito Santo,32,3532351267.31,3.53235126731,2025B1,3351704126.58,0.05389710246122714,5.389710246122714
2025,2,ES,Governo do Estado do Espírito Santo,32,3508111262.56,3.50811126256,2025B2,3314532249.66,0.05840311643365581,5.840311643365581
2026,1,ES,Governo do Estado do Espírito Santo,32,4073631260.2,4.0736312602,2026B1,3532351267.31,0.15323504145786782,15.323504145786782
2026,2,ES,Governo do Estado do Espírito Santo,32,3875839538.94,3.87583953894,2026B2,3508111262.56,0.10482229577623348,10.482229577623347
2022,1,GO,Governo do Estado de Goiás,52,3996485835.56,3.99648583556,2022B1,NA,NA,NA
2022,2,GO,Governo do Estado de Goiás,52,4180401669.08,4.18040166908,2022B2,NA,NA,NA
2023,1,GO,Governo do Estado de Goiás,52,3749423863.75,3.74942386375,2023B1,3996485835.56,-0.0618198041918947,-6.18198041918947
2023,2,GO,Governo do Estado de Goiás,52,3690614251.02,3.69061425102,2023B2,4180401669.08,-0.11716276492822986,-11.716276492822985
2024,1,GO,Governo do Estado de Goiás,52,4334005022.47,4.33400502247,2024B1,3749423863.75,0.1559122627803753,15.591226278037528
2024,2,GO,Governo do Estado de Goiás,52,4416526803.67,4.41652680367,2024B2,3690614251.02,0.19669152701325388,19.669152701325388
2025,1,GO,Governo do Estado de Goiás,52,4467987731.360001,4.467987731360001,2025B1,4334005022.47,0.030914294790928,3.0914294790928
2025,2,GO,Governo do Estado de Goiás,52,4940885508.24,4.94088550824,2025B2,4416526803.67,0.11872648528573926,11.872648528573926
2026,1,GO,Governo do Estado de Goiás,52,5254712104.67,5.25471210467,2026B1,4467987731.360001,0.17608024475719186,17.608024475719187
2026,2,GO,Governo do Estado de Goiás,52,5359553133.16,5.3595531331599995,2026B2,4940885508.24,0.08473534232310809,8.473534232310808
2022,1,MA,Governo do Estado do Maranhão,21,1710709122.53,1.71070912253,2022B1,NA,NA,NA
2022,2,MA,Governo do Estado do Maranhão,21,1799697525.5300002,1.7996975255300003,2022B2,NA,NA,NA
2023,1,MA,Governo do Estado do Maranhão,21,1580428320.42,1.58042832042,2023B1,1710709122.53,-0.07615602231507668,-7.615602231507667
2023,2,MA,Governo do Estado do Maranhão,21,1395002135.56,1.39500213556,2023B2,1799697525.5300002,-0.22486855942685136,-22.486855942685136
2024,1,MA,Governo do Estado do Maranhão,21,1874408723.6,1.8744087236,2024B1,1580428320.42,0.18601312022925165,18.601312022925164
2024,2,MA,Governo do Estado do Maranhão,21,2316189387.7,2.3161893876999997,2024B2,1395002135.56,0.6603482737825379,66.0348273782538
2025,1,MA,Governo do Estado do Maranhão,21,2458214946.8999996,2.4582149468999996,2025B1,1874408723.6,0.3114615376835945,31.146153768359454
2025,2,MA,Governo do Estado do Maranhão,21,2257997947.67,2.2579979476700003,2025B2,2316189387.7,-0.02512378320141795,-2.512378320141795
2026,1,MA,Governo do Estado do Maranhão,21,2696025841.66,2.69602584166,2026B1,2458214946.8999996,0.09674129394579523,9.674129394579523
2026,2,MA,Governo do Estado do Maranhão,21,2814587861.76,2.81458786176,2026B2,2257997947.67,0.24649708590937314,24.649708590937315
2022,1,MG,Governo do Estado de Minas Gerais,31,11562724618.810001,11.562724618810002,2022B1,NA,NA,NA
2022,2,MG,Governo do Estado de Minas Gerais,31,11879943629.65,11.87994362965,2022B2,NA,NA,NA
2023,1,MG,Governo do Estado de Minas Gerais,31,10028455358.93,10.02845535893,2023B1,11562724618.810001,-0.13269097989102707,-13.269097989102708
2023,2,MG,Governo do Estado de Minas Gerais,31,12305108026.18,12.305108026180001,2023B2,11879943629.65,0.035788418681455214,3.5788418681455214
2024,1,MG,Governo do Estado de Minas Gerais,31,12349905609.36,12.34990560936,2024B1,10028455358.93,0.23148632240386124,23.148632240386124
2024,2,MG,Governo do Estado de Minas Gerais,31,12438699111.21,12.43869911121,2024B2,12305108026.18,0.010856555240780885,1.0856555240780885
2025,1,MG,Governo do Estado de Minas Gerais,31,13658201354.77,13.65820135477,2025B1,12349905609.36,0.10593568783379537,10.593568783379537
2025,2,MG,Governo do Estado de Minas Gerais,31,14096594025.66,14.09659402566,2025B2,12438699111.21,0.13328523341768705,13.328523341768705
2026,1,MG,Governo do Estado de Minas Gerais,31,13843973431.36,13.84397343136,2026B1,13658201354.77,0.01360150372399671,1.360150372399671
2026,2,MG,Governo do Estado de Minas Gerais,31,14799457476.09,14.79945747609,2026B2,14096594025.66,0.04986051589132656,4.986051589132656
2022,1,MS,Governo do Estado do Mato Grosso do Sul,50,2138437157.84,2.13843715784,2022B1,NA,NA,NA
2022,2,MS,Governo do Estado do Mato Grosso do Sul,50,2306671575.89,2.30667157589,2022B2,NA,NA,NA
2023,1,MS,Governo do Estado do Mato Grosso do Sul,50,2367892493.12,2.36789249312,2023B1,2138437157.84,0.10730048083889865,10.730048083889866
2023,2,MS,Governo do Estado do Mato Grosso do Sul,50,2576914419.04,2.57691441904,2023B2,2306671575.89,0.11715705260109699,11.715705260109699
2024,1,MS,Governo do Estado do Mato Grosso do Sul,50,2836972474.75,2.83697247475,2024B1,2367892493.12,0.19810020218102364,19.810020218102366
2024,2,MS,Governo do Estado do Mato Grosso do Sul,50,2708566058.4,2.7085660584,2024B2,2576914419.04,0.05108886751817132,5.108886751817132
2025,1,MS,Governo do Estado do Mato Grosso do Sul,50,2838284938.79,2.8382849387899998,2025B1,2836972474.75,4.6262840111466197e-4,0.0462628401114662
2025,2,MS,Governo do Estado do Mato Grosso do Sul,50,2922137410.81,2.92213741081,2025B2,2708566058.4,0.07885033918506701,7.885033918506701
2026,1,MS,Governo do Estado do Mato Grosso do Sul,50,2832488374.73,2.83248837473,2026B1,2838284938.79,-0.002042277003545312,-0.2042277003545312
2026,2,MS,Governo do Estado do Mato Grosso do Sul,50,2998246756.3599997,2.9982467563599995,2026B2,2922137410.81,0.02604577911649364,2.604577911649364
2022,1,MT,Governo do Estado do Mato Grosso,51,3263420277.4700003,3.2634202774700003,2022B1,NA,NA,NA
2022,2,MT,Governo do Estado do Mato Grosso,51,3241672528.2799997,3.2416725282799996,2022B2,NA,NA,NA
2023,1,MT,Governo do Estado do Mato Grosso,51,3131291582.27,3.13129158227,2023B1,3263420277.4700003,-0.04048779622783816,-4.048779622783815
2023,2,MT,Governo do Estado do Mato Grosso,51,3298293132.1400003,3.2982931321400004,2023B2,3241672528.2799997,0.01746647860511774,1.7466478605117741
2024,1,MT,Governo do Estado do Mato Grosso,51,3681553557.66,3.68155355766,2024B1,3131291582.27,0.1757300337361405,17.57300337361405
2024,2,MT,Governo do Estado do Mato Grosso,51,3453435729.99,3.45343572999,2024B2,3298293132.1400003,0.04703723763610412,4.703723763610412
2025,1,MT,Governo do Estado do Mato Grosso,51,3964310977.56,3.96431097756,2025B1,3681553557.66,0.07680383171709737,7.680383171709737
2025,2,MT,Governo do Estado do Mato Grosso,51,4078264392.34,4.07826439234,2025B2,3453435729.99,0.18092957599411008,18.092957599411008
2026,1,MT,Governo do Estado do Mato Grosso,51,4375728806.09,4.375728806090001,2026B1,3964310977.56,0.10378041250013759,10.378041250013759
2026,2,MT,Governo do Estado do Mato Grosso,51,4557014961.12,4.55701496112,2026B2,4078264392.34,0.11739076301164109,11.739076301164108
2022,1,PA,Governo do Estado do Pará,15,4037564482.4399996,4.03756448244,2022B1,NA,NA,NA
2022,2,PA,Governo do Estado do Pará,15,3143645446.35,3.14364544635,2022B2,NA,NA,NA
2023,1,PA,Governo do Estado do Pará,15,2975707100.9700003,2.9757071009700002,2023B1,4037564482.4399996,-0.2629945319977386,-26.299453199773858
2023,2,PA,Governo do Estado do Pará,15,3001460110.75,3.00146011075,2023B2,3143645446.35,-0.045229443977242156,-4.522944397724215
2024,1,PA,Governo do Estado do Pará,15,3785936252.5699997,3.7859362525699995,2024B1,2975707100.9700003,0.27228121723938714,27.228121723938713
2024,2,PA,Governo do Estado do Pará,15,3556015229.24,3.55601522924,2024B2,3001460110.75,0.1847617819419991,18.47617819419991
2025,1,PA,Governo do Estado do Pará,15,3990329826.8100004,3.9903298268100005,2025B1,3785936252.5699997,0.053987590018519827,5.398759001851983
2025,2,PA,Governo do Estado do Pará,15,3732680948.39,3.73268094839,2025B2,3556015229.24,0.049680810615582605,4.9680810615582605
2026,1,PA,Governo do Estado do Pará,15,4207349129.83,4.20734912983,2026B1,3990329826.8100004,0.05438630700698033,5.438630700698033
